id,title,kind,category,address,neighborhood,rating,reviewCount,priceLabel,lat,lng,googleMapsUrl,googlePlaceId,source,active,tags
79-rainey-st-fc22df64,79 Rainey St,venue,,"Austin, TX 78701",Rainey,,,,,,,,google_maps_list_browser_extract,True,['needs-google-places-enrichment']
cava-e8d88320,CAVA,restaurant,Mediterranean,,Congress,4.6,2374,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
cozymeal-cooking-classes-c9fa2c30,Cozymeal Cooking Classes,venue,Culinary school,,Downtown Core,4.9,419,,,,,,google_maps_list_browser_extract,True,['needs-address']
p-terry-s-burger-stand-d393d889,P. Terry's Burger Stand,restaurant,Fast Food,,Downtown Core,4.2,1336,$,,,,,google_maps_list_browser_extract,True,['needs-address']
austin-business-journal-a48f745e,Austin Business Journal,wellness,Newspaper publisher,,Downtown Core,3.6,8,,,,,,google_maps_list_browser_extract,True,['needs-address']
punch-bowl-social-51a5c483,Punch Bowl Social,restaurant,Restaurant,,Downtown Core,4.2,793,$20–30,,,,,google_maps_list_browser_extract,True,['needs-address']
ciccio-bomba-scarborough-18436777,Ciccio Bomba - Scarborough,cafe,Cafe,,Downtown Core,4.5,8,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
ruth-s-chris-steak-house-89025ac3,Ruth's Chris Steak House,restaurant,Steak,,Downtown Core,4.4,1487,$100+,,,,,google_maps_list_browser_extract,True,['needs-address']
velvet-taco-426e571a,Velvet Taco,restaurant,Tacos,,Downtown Core,4.7,3060,$10–20,,,,,google_maps_list_browser_extract,True,['needs-address']
cvs-pharmacy-07c92ef8,CVS Pharmacy,venue,Pharmacy,,Downtown Core,4.2,62,,,,,,google_maps_list_browser_extract,True,['needs-address']
kelly-s-corner-218cb590,Kelly's Corner,bar,Bar,,Downtown Core,5.0,14,,,,,,google_maps_list_browser_extract,True,['needs-address']
walking-tours-of-austin-bd36cd23,Walking Tours of Austin,experience,Sightseeing tour agency,,Downtown Core,4.9,535,,,,,,google_maps_list_browser_extract,True,['needs-address']
quik-print-e76c9f6e,Quik Print,retail,Print shop,,Downtown Core,5.0,153,,,,,,google_maps_list_browser_extract,True,['needs-address']
mediterranean-resources-llc-1e564713,Mediterranean Resources LLC,restaurant,,,Downtown Core,,,,,,,,google_maps_list_browser_extract,True,"['needs-google-places-enrichment', 'needs-address']"
mediterranean-4288957b,Mediterranean,civic,Parking lot,400 Congress Ave Parking,Congress,3.0,7,,,,,,google_maps_list_browser_extract,True,[]
atx-metrobike-station-13945335,ATX MetroBike Station,mobility,Bicycle rental service,,Downtown Core,1.0,1,,,,,,google_maps_list_browser_extract,True,"['needs-address', 'consider-hide-from-resident-default']"
austindeep-downtown-12b649af,AUSTINDEEP Downtown,wellness,Massage therapist,,Downtown Core,4.8,371,,,,,,google_maps_list_browser_extract,True,['needs-address']
patagonia-2dc583f6,Patagonia,retail,Outdoor clothing and equipment shop,,Downtown Core,4.5,307,,,,,,google_maps_list_browser_extract,True,['needs-address']
pvolve-austin-downtown-8ee95326,Pvolve Austin - Downtown,wellness,Physical fitness program,,Downtown Core,4.7,16,,,,,,google_maps_list_browser_extract,True,['needs-address']
smoke-paradise-vape-and-hemp-dispensary-89973a52,Smoke Paradise - Vape and Hemp Dispensary,retail,Smoke shop,,Downtown Core,4.9,297,,,,,,google_maps_list_browser_extract,True,['needs-address']
parking-940-e6c8e4ec,Parking 940,civic,Parking lot,,Downtown Core,1.3,34,,,,,,google_maps_list_browser_extract,True,"['needs-address', 'consider-hide-from-resident-default']"
moreland-properties-ccadd62c,Moreland Properties,venue,Real estate agency,,Downtown Core,5.0,1,,,,,,google_maps_list_browser_extract,True,['needs-address']
brandy-melville-austin-2-8ea52173,Brandy Melville - Austin 2,retail,Women's clothing store,,Downtown Core,2.5,35,,,,,,google_maps_list_browser_extract,True,['needs-address']
ashton-austin-fca94a52,Ashton Austin,property,Apartment rental agency,,Downtown Core,4.1,191,,,,,,google_maps_list_browser_extract,True,['needs-address']
sunglass-hut-d61a6549,Sunglass Hut,retail,Sunglasses store,,Downtown Core,4.3,11,,,,,,google_maps_list_browser_extract,True,['needs-address']
live-ride-laugh-bb8941e9,Live Ride Laugh,retail,Toy store,,Downtown Core,5.0,2,,,,,,google_maps_list_browser_extract,True,['needs-address']
the-austinite-market-2nd-street-d2be7390,The Austinite Market - 2nd Street,retail,Convenience store,,2nd Street,4.9,33,,,,,,google_maps_list_browser_extract,True,['needs-address']
bill-s-oyster-ac1c8f95,Bill's Oyster,restaurant,Restaurant,,Downtown Core,4.4,309,$20–30,,,,,google_maps_list_browser_extract,True,['needs-address']
walking-tours-austin-adea39f3,Walking Tours Austin,experience,Tour agency,,Downtown Core,5.0,3,,,,,,google_maps_list_browser_extract,True,['needs-address']
amli-downtown-parking-5ac7fc0a,AMLI Downtown Parking,civic,Parking lot,,Downtown Core,2.4,18,,,,,,google_maps_list_browser_extract,True,"['needs-address', 'consider-hide-from-resident-default']"
kasa-downtown-austin-642dd0ba,Kasa Downtown Austin,hotel,4-star hotel,,Downtown Core,4.8,230,,,,,,google_maps_list_browser_extract,True,['needs-address']
austin-city-hall-28cf694f,Austin City Hall,civic,City Hall,,Downtown Core,3.9,110,,,,,,google_maps_list_browser_extract,True,['needs-address']
uchib-austin-6e169239,Uchibā Austin,restaurant,Sushi,,Downtown Core,4.5,606,$100+,,,,,google_maps_list_browser_extract,True,['needs-address']
better-half-coffee-and-cocktails-52a59333,Better Half Coffee & Cocktails,bar,Cafe,,Downtown Core,4.4,1802,$10–30,,,,,google_maps_list_browser_extract,True,['needs-address']
amli-300-a07d937d,AMLI 300,property,Apartment complex,,Downtown Core,3.9,72,,,,,,google_maps_list_browser_extract,True,['needs-address']
gables-park-plaza-37178bf2,Gables Park Plaza,property,Apartment rental agency,,Downtown Core,3.4,119,,,,,,google_maps_list_browser_extract,True,['needs-address']
