id,title,kind,category,address,lat,lng,neighborhood,googleMapsUrl,googleCid,source,datasetStatus,expectedFullListCount,actualSeedCount,tags,active,importedAt,updatedAt
quattro-gatti-ristorante-e-pizzeria-bf9c67fe,Quattro Gatti Ristorante e Pizzeria,venue,Google Saved Place,"908 N Congress Ave, Austin, TX 78701, United States",30.2713014,-97.7418612,Congress,http://maps.google.com/?cid=13901213448694198703,13901213448694198703,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-06-15T08:53:55Z,2026-06-24T08:13:33.566Z
punch-bowl-social-e0369f67,Punch Bowl Social,venue,Google Saved Place,"522 N Congress Ave, Austin, TX 78701, United States",30.2679365,-97.7431945,Congress,http://maps.google.com/?cid=4244554043953019940,4244554043953019940,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-06-15T08:34:56Z,2026-06-24T08:13:33.567Z
pershing-house-6296687c,Pershing House,venue,Google Saved Place,"2415B E 5th St. Unit B, Austin, TX 78702, United States",30.2575481,-97.7154462,East Austin,http://maps.google.com/?cid=381523077981499971,381523077981499971,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-06-07T04:17:22Z,2026-06-24T08:13:33.567Z
green-dragon-520db6a3,Green Dragon,venue,Google Saved Place,"4103 Sheridan Blvd, Denver, CO 80212, United States",39.7731497,-105.0536108,Outside Austin / Review,http://maps.google.com/?cid=5260574557416218732,5260574557416218732,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-21T02:32:06Z,2026-06-24T08:13:33.567Z
the-driskill-the-unbound-collection-by-hyatt-771ce4b1,The Driskill - The Unbound Collection by Hyatt,venue,Google Saved Place,"604 Brazos St, Austin, TX 78701, United States",30.2681502,-97.7417551,Downtown Core,http://maps.google.com/?cid=11587148967411462074,11587148967411462074,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:34:43Z,2026-06-24T08:13:33.567Z
daydreamer-aa480e11,daydreamer,venue,Google Saved Place,"1708 E 6th St, Austin, TX 78702, United States",30.2623199,-97.7235225,East Austin,http://maps.google.com/?cid=11331924417358158118,11331924417358158118,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:34:26Z,2026-06-24T08:13:33.567Z
sxsw-300e90a6,SXSW,venue,Google Saved Place,"500 E 4th St #3720, Austin, TX 78701, United States",30.2653203,-97.7386464,Downtown Core,http://maps.google.com/?cid=1955936656949453307,1955936656949453307,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:34:09Z,2026-06-24T08:13:33.567Z
palm-door-on-sixth-33223a7e,Palm Door On Sixth,venue,Google Saved Place,"508 E 6th St, Austin, TX 78701, United States",30.2669107,-97.7377236,East Austin,http://maps.google.com/?cid=420038518622253115,420038518622253115,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:34:07Z,2026-06-24T08:13:33.567Z
austin-city-limits-live-acl-live-and-3ten-acl-live-ab7fed60,Austin City Limits Live (ACL Live & 3TEN ACL Live),venue,Google Saved Place,"310 W Willie Nelson Blvd, Austin, TX 78701, United States",30.2652627,-97.7469912,Downtown Core,http://maps.google.com/?cid=5268262189183100567,5268262189183100567,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:34:05Z,2026-06-24T08:13:33.567Z
garage-5dd2ee3b,Garage,mobility,Google Saved Place,"503 Colorado St, Austin, TX 78701, United States",30.2679672,-97.7440893,Downtown Core,http://maps.google.com/?cid=16466347261649349716,16466347261649349716,google_takeout_saved_places,partial_seed,369,22,google-takeout-partial-seed,true,2026-03-17T15:33:59Z,2026-06-24T08:13:33.567Z
