venue,slug,area_label,category,asset_type,asset_file,dimensions,derived_from_source_file,source_image_url,source_page,download_page,source_type,rights_status,notes
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,hero_clean,images/las-perlas/las-perlas_hero_clean_1600x900.png,1600x900,images/las-perlas/source/01_las-perlas_bar.jpg,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Las-Perlas-2-scaled.jpg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,listing_card,images/las-perlas/las-perlas_listing_card_1600x900.png,1600x900,images/las-perlas/source/01_las-perlas_bar.jpg,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Las-Perlas-2-scaled.jpg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,map_thumb,images/las-perlas/las-perlas_map_thumb_512x512.png,512x512,images/las-perlas/source/01_las-perlas_bar.jpg,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Las-Perlas-2-scaled.jpg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,source_original,images/las-perlas/source/01_las-perlas_bar.jpg,2560x1707,,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Las-Perlas-2-scaled.jpg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,source_original,images/las-perlas/source/02_las-perlas_interior.jpg,2400x1600,,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Las-Perlas-5.jpg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Las Perlas,las-perlas,Drinks nearby · Red River,Mezcal Bar,source_original,images/las-perlas/source/03_las-perlas_patio.jpeg,1574x1049,,https://austinvenuecol.wpengine.com/wp-content/uploads/2023/06/Copy-of-Las-Perlas-Covered-Patio-2.jpeg,https://www.lasperlasaustin.com/,https://www.austinvenuecollective.com/venue/las-perlas,Venue/booking-partner listing; official Las Perlas site also referenced,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official Las Perlas site images were available as Wix AVIF in this environment; direct downloadable JPGs were pulled from The Venue Collective listing associated with Las Perlas events.
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,hero_clean,images/pelons/pelons_hero_clean_1600x900.png,1600x900,images/pelons/source/02_pelons_bar.webp,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686161516958-1RFVHPOYW0KG1GD3YC2R/Bar%2B508%2B-%2BJanuary%2B2019-43.jpg,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets; Squarespace served downloads as WebP.
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,listing_card,images/pelons/pelons_listing_card_1600x900.png,1600x900,images/pelons/source/02_pelons_bar.webp,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686161516958-1RFVHPOYW0KG1GD3YC2R/Bar%2B508%2B-%2BJanuary%2B2019-43.jpg,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets; Squarespace served downloads as WebP.
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,map_thumb,images/pelons/pelons_map_thumb_512x512.png,512x512,images/pelons/source/02_pelons_bar.webp,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686161516958-1RFVHPOYW0KG1GD3YC2R/Bar%2B508%2B-%2BJanuary%2B2019-43.jpg,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,"Source image is publicly accessible, but reuse is not automatically licensed; confirm permission before production/commercial deployment.",Official site assets; Squarespace served downloads as WebP.
Pelon’s,pelons,Drinks nearby · Red River,Tex-Mex / Tequila Bar,source_original,images/pelons/source/01_pelons_exterior.webp,2500x1667,,https://images.squarespace-cdn.com/content/v1/6480c86cb329776e9cdd1293/1686165186650-GQUSBFFGL7S4SXPXF72H/IMG_1907%2B%281%29.JPG,https://www.pelonstexmex.com/,https://www.pelonstexmex.com/,Official business website,Original public source image; permission/usage rights still need confirmation before production/commercial use.,Official site assets; Squarespace served downloads as WebP.
