asset_path,inferred_entity,reason,confidence,next_action
"/Users/megdude/Downloads/PERKS MEDIA/14 JULY NEW/0df5f025-3f15-4ac3-9cba-33dd2e08283f.png","0df5f025-3f15-4ac3-9cba-33dd2e08283f","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/14 JULY NEW/b6afe1c6-fa55-4a16-be65-dddfeb8f5f3b.png","b6afe1c6-fa55-4a16-be65-dddfeb8f5f3b","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/14 JULY NEW/bb4a4f86-a597-4107-987f-d687f11e60dd.png","bb4a4f86-a597-4107-987f-d687f11e60dd","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (1).jpeg","user-attachment-1","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (10).jpeg","user-attachment-10","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (11).jpeg","user-attachment-11","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (12).jpeg","user-attachment-12","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (13).jpeg","user-attachment-13","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (14).jpeg","user-attachment-14","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (15).jpeg","user-attachment-15","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (16).jpeg","user-attachment-16","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (17).jpeg","user-attachment-17","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (18).jpeg","user-attachment-18","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (19).jpeg","user-attachment-19","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (2).jpeg","user-attachment-2","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (20).jpeg","user-attachment-20","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
"/Users/megdude/Downloads/PERKS MEDIA/ADDITIONAL IMAGES/User attachment (21).jpeg","user-attachment-21","Identity and usage rights require review before assignment","below_90_percent","Confirm identity, role, rights and crop before manifest assignment"
