surface,route,entity_id,title,panel_mode,current_image,expected_image,current_copy,mismatch_type,severity,fix_applied,manual_review,notes
"src/data/archiveLocationReferences.json","","manual_review_required","","resident_and_partner","""currentImage"": ""/images/austonian_lobby_1779052725341.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/archiveLocationReferences.json","","manual_review_required","","resident_and_partner","""currentImage"": ""/images/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/archiveLocationReferences.json","","manual_review_required","","resident_and_partner","""currentImage"": ""/images/downtown_art_walk_1779052670656.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/daaArtParksTour.js","","manual_review_required","","resident_and_partner","if (text.includes(""gallery"") || text.includes(""art"") || text.includes(""mural"")) return ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/daaArtParksTour.js","","manual_review_required","","resident_and_partner","if (text.includes(""theatre"") || text.includes(""amphitheater"") || text.includes(""music"")) return ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/locations.json","","manual_review_required","","resident_and_partner","""/images/imported/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/production/heroImageRegistry.ts","","manual_review_required","","resident_and_partner","""/images/imported/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/production/production-map-inventory.json","","manual_review_required","","resident_and_partner","""/images/imported/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","","manual_review_required","","resident_and_partner","const ART_WALK_IMAGE = ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","","manual_review_required","","resident_and_partner","const BATHE_IMAGE = ""/images/map-entities/perks/partner_wellness_1779052883675.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","","manual_review_required","","resident_and_partner","const RED_RIVER_DISTRICT_IMAGE = ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/waterlooParkCampaignPins.ts","","manual_review_required","","resident_and_partner","moody: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/waterlooParkInventory.ts","","manual_review_required","","resident_and_partner","moody: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","const PROPERTY_PLACEHOLDER_REPLACEMENT = ""/images/imported/perks/prospective-residents-walking-through-the-neighborhood.png"";","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","dining: [""/images/map-entities/perks/partner_dining_patio_1779052819620.png""],","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","coffee: [""/images/map-entities/perks/partner_coffee_shop_1779052868356.png""],","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","hotel: [""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png""],","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","wellness: [""/images/map-entities/perks/partner_wellness_1779052883675.png""],","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""moody-amphitheater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""waterloo-moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","jwMarriott: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","jwMarriott: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/entityImageResolver.ts","","manual_review_required","","resident_and_partner","""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""the-austonian"": ""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","austonian: ""/images/map-entities/perks/austonian_lobby_1779052725341.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""moody-theater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""moody-ampitheater-at-waterloo-park"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","hotel: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","hospitality: ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","offer: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","perk: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","brand: ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""restaurant-dining"": ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""coffee-cafe"": ""/images/map-entities/perks/partner_coffee_shop_1779052868356.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""retail-business"": ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""fitness-wellness"": ""/images/map-entities/perks/partner_wellness_1779052883675.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""event-access"": ""/images/map-entities/perks/partner_hotel_rooftop_1779052803267.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""brand-activation"": ""/images/map-entities/perks/commercial_street_level_1779052788888.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","venue: ""/images/map-entities/perks/partner_dining_patio_1779052819620.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","default: ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/map/perkImageRegistry.ts","","manual_review_required","","resident_and_partner","""red river"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/lib/useLocations.js","","manual_review_required","","resident_and_partner","image: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","","manual_review_required","","resident_and_partner","""moody-amphitheater"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","","manual_review_required","","resident_and_partner","""moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/pages/Map.jsx","","manual_review_required","","resident_and_partner","""waterloo-moody-amphitheater-activation-plot"": ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","entity manifest or neutral category fallback","","placeholder_or_named_fallback","review","no","yes","Named or generic fallback reference; retain only when entity-specific media is unavailable"
