file,line,reference,intended_entity,replacement,status,notes
"src/data/archiveLocationReferences.json","2208","""currentImage"": ""/images/austonian_lobby_1779052725341.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/archiveLocationReferences.json","2627","""currentImage"": ""/images/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/archiveLocationReferences.json","3321","""currentImage"": ""/images/downtown_art_walk_1779052670656.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/daaArtParksTour.js","258","if (text.includes(""gallery"") || text.includes(""art"") || text.includes(""mural"")) return ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/daaArtParksTour.js","260","if (text.includes(""theatre"") || text.includes(""amphitheater"") || text.includes(""music"")) return ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/locations.json","15004","""/images/imported/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/production/heroImageRegistry.ts","18059","""/images/imported/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/production/production-map-inventory.json","64439","""/images/imported/perks/commercial_street_level_1779052788888.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","18","const ART_WALK_IMAGE = ""/images/map-entities/perks/downtown_art_walk_1779052670656.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","43","const BATHE_IMAGE = ""/images/map-entities/perks/partner_wellness_1779052883675.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/supplementalMapEntities.js","51","const RED_RIVER_DISTRICT_IMAGE = ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"";","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/waterlooParkCampaignPins.ts","31","moody: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
"src/data/waterlooParkInventory.ts","49","moody: ""/images/map-entities/perks/moody_theater_live_music_1779052684229.png"",","manual_review_required","","manual_review_required","Named or generic fallback reference; retain only when entity-specific media is unavailable"
