category,name,address,lat,lng,osm_type,osm_id,tags
"Restaurant","Always Something","75 Rainey Street","30.2584158","-97.7386042","way","1513184071","{""""addr:city"""":""""Austin"""",""""addr:country"""":""""US"""",""""addr:housenumber"""":""""75"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Rainey Street"""",""""amenity"""":""""food_court"""",""""area"""":""""yes"""",""""building"""":""""no"""",""""landuse"""":""""retail"""",""""name"""":""""Always Something"""",""""smoking"""":""""no""""}"
"Restaurant","Ciclo","98 San Jacinto Boulevard","30.2616633","-97.7425502","node","13873366719","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""98"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""San Jacinto Boulevard"""",""""air_conditioning"""":""""yes"""",""""amenity"""":""""restaurant"""",""""bar"""":""""yes"""",""""cuisine"""":""""mexican;american"""",""""indoor_seating"""":""""yes"""",""""level"""":""""0"""",""""name"""":""""Ciclo"""",""""outdoor_seating"""":""""yes"""",""""phone"""":""""+1-512-685-8307"""",""""smoking"""":""""no"""",""""website"""":""""https://www.cicloatx.com/"""",""""wheelchair"""":""""designated""""}"
"Restaurant","Crazy Conchas","87 Rainey Street","30.2596197","-97.7381187","way","312335010","{""""addr:city"""":""""Austin"""",""""addr:country"""":""""US"""",""""addr:housenumber"""":""""87"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Rainey Street"""",""""air_conditioning"""":""""yes"""",""""amenity"""":""""restaurant"""",""""bar"""":""""yes"""",""""building"""":""""yes"""",""""check_date"""":""""2026-05-12"""",""""cuisine"""":""""mexican"""",""""name"""":""""Crazy Conchas"""",""""payment:cash"""":""""yes"""",""""payment:credit_cards"""":""""yes"""",""""payment:debit_cards"""":""""yes"""",""""wheelchair"""":""""yes""""}"
"Restaurant","Fat Rabbit Social House","35 Brazos Street","30.2623206","-97.7430572","node","4852544021","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""35"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Brazos Street"""",""""air_conditioning"""":""""yes"""",""""amenity"""":""""restaurant"""",""""contact:website"""":""""https://www.fatrabbitatx.com/"""",""""cuisine"""":""""brunch"""",""""name"""":""""Fat Rabbit Social House""""}"
"Restaurant","Rogue Radish","111 Congress Avenue","30.2636239","-97.7436805","node","13612014683","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""111"""",""""addr:postcode"""":""""78701-4050"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Congress Avenue"""",""""amenity"""":""""fast_food"""",""""check_date"""":""""2026-03-02"""",""""contact:instagram"""":""""https://www.instagram.com/rogue.radish/"""",""""cuisine"""":""""salad"""",""""currency:XBT"""":""""yes"""",""""name"""":""""Rogue Radish"""",""""opening_hours"""":""""Mo-Su 11:00-17:00"""",""""payment:lightning"""":""""yes"""",""""payment:lightning:operator"""":""""square"""",""""payment:lightning_contactless"""":""""no"""",""""payment:onchain"""":""""no"""",""""phone"""":""""+1-512-653-1836"""",""""street_vendor"""":""""yes"""",""""website"""":""""https://www.rogueradish.org/""""}"
"Restaurant","Swivel","74 Trinity Street","30.2606543","-97.7416927","way","1521961876","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""74"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Trinity Street"""",""""amenity"""":""""ice_cream"""",""""building"""":""""static_caravan"""",""""drive_through"""":""""no"""",""""indoor_seating"""":""""no"""",""""name"""":""""Swivel"""",""""outdoor_seating"""":""""yes"""",""""website"""":""""https://www.swivelsoftserve.com/""""}"
"Restaurant","Taco Wëy","","30.2582258","-97.7388567","node","13841814157","{""""amenity"""":""""fast_food"""",""""cuisine"""":""""mexican"""",""""drive_through"""":""""no"""",""""name"""":""""Taco Wëy""""}"
"Restaurant","The Onion","408 Brazos Street","30.2664857","-97.7421477","way","1507538791","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""408"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Brazos Street"""",""""amenity"""":""""fast_food"""",""""building"""":""""yes"""",""""cuisine"""":""""pizza"""",""""drive_through"""":""""no"""",""""name"""":""""The Onion"""",""""opening_hours"""":""""Mo 11:00-15:00; Tu,We 11:00-15:00,20:00-00:00; Th,Fr 11:00-15:00,18:00-03:00; Sa 18:00-03:00; Su off"""",""""phone"""":""""+1-512-476-6466"""",""""website"""":""""https://onionbaby.com/""""}"
"Restaurant","The Smokehouse at Banger's","81 Rainey Street","30.2590114","-97.7382115","way","1513184072","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""81"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Rainey Street"""",""""air_conditioning"""":""""no"""",""""amenity"""":""""restaurant"""",""""building"""":""""yes"""",""""cuisine"""":""""barbecue"""",""""name"""":""""The Smokehouse at Banger's"""",""""opening_hours"""":""""Mo,Tu 11:00-15:00; We 11:00-14:30; Th 11:00-22:00; Fr 11:00-15:00; Sa 11:00-23:00; Su 10:00-21:00"""",""""outdoor_seating"""":""""yes""""}"
"Restaurant","Turf n'Surf Po'Boy","407 Lavaca Street","30.2672083","-97.7455821","way","1507317990","{""""addr:city"""":""""Austin"""",""""addr:housenumber"""":""""407"""",""""addr:postcode"""":""""78701"""",""""addr:state"""":""""TX"""",""""addr:street"""":""""Lavaca Street"""",""""air_conditioning"""":""""yes"""",""""amenity"""":""""restaurant"""",""""building"""":""""yes"""",""""cuisine"""":""""seafood;cajun"""",""""name"""":""""Turf n'Surf Po'Boy"""",""""opening_hours"""":""""Su-Th 11:00-22:00; Fr-Sa 11:00-23:00"""",""""outdoor_seating"""":""""yes"""",""""phone"""":""""+1-512-745-6381"""",""""website"""":""""https://www.turfnsurfpoboy.com/""""}"
