kind,name,search_query,commons_file,commons_page,source_url,original_path,out_webp,mime,width,height,license,license_url,artist,credit,status,note
building,The Austonian,The Austonian Austin,File:TheAustonian.jpg,https://commons.wikimedia.org/wiki/File%3ATheAustonian.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/TheAustonian.jpg,public/assets-originals/buildings/austonian.jpg,public/buildings/austonian.webp,image/jpeg,3136,5575,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Shawnbell,Template:Shawnbell,ok,
building,The Independent,The Independent Austin,File:The Independent Austin Texas NE Corner 2020.jpg,https://commons.wikimedia.org/wiki/File%3AThe_Independent_Austin_Texas_NE_Corner_2020.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/The_Independent_Austin_Texas_NE_Corner_2020.jpg,public/assets-originals/buildings/independent.jpg,public/buildings/independent.webp,image/jpeg,1179,1769,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Larry D. Moore,Own work,ok,
building,Seaholm Residences,Seaholm Residences Austin,File:Seaholm Residences Austin.jpg,https://commons.wikimedia.org/wiki/File%3ASeaholm_Residences_Austin.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Seaholm_Residences_Austin.jpg,public/assets-originals/buildings/seaholm.jpg,public/buildings/seaholm.webp,image/jpeg,605,969,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Fredlyfish4,Own work,ok,
building,360 Condominiums,360 Condominiums Austin,File:360 Condominium Austin 2021-08-10.jpg,https://commons.wikimedia.org/wiki/File%3A360_Condominium_Austin_2021-08-10.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/360_Condominium_Austin_2021-08-10.jpg,public/assets-originals/buildings/360.jpg,public/buildings/360.webp,image/jpeg,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Xnatedawgx,Own work,ok,
building,The Shore,The Shore Austin,File:Port Austin Light.jpg,https://commons.wikimedia.org/wiki/File%3APort_Austin_Light.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Port_Austin_Light.jpg,public/assets-originals/buildings/shore.jpg,public/buildings/shore.webp,image/jpeg,2238,1378,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Chris Light,Own work,ok,
building,The Quincy,The Quincy Austin,File:The Quincy (cropped).png,https://commons.wikimedia.org/wiki/File%3AThe_Quincy_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/7/70/The_Quincy_%28cropped%29.png,public/assets-originals/buildings/quincy.png,public/buildings/quincy.webp,image/png,2334,2465,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lily Wilkerson,Own work,ok,
building,70 Rainey,70 Rainey Austin,File:70 Rainey from the East.jpg,https://commons.wikimedia.org/wiki/File%3A70_Rainey_from_the_East.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/70_Rainey_from_the_East.jpg,public/assets-originals/buildings/70-rainey.jpg,public/buildings/70-rainey.webp,image/jpeg,1536,2048,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Pixelsandbacon,Own work,ok,
building,44 East,44 East Austin,File:44 East from Lady Bird Lake.jpg,https://commons.wikimedia.org/wiki/File%3A44_East_from_Lady_Bird_Lake.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/44_East_from_Lady_Bird_Lake.jpg,public/assets-originals/buildings/44-east.jpg,public/buildings/44-east.webp,image/jpeg,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lily Wilkerson,Own work,ok,
building,Natiivo,Natiivo Austin,File:Natiivo Austin from the West.png,https://commons.wikimedia.org/wiki/File%3ANatiivo_Austin_from_the_West.png,https://upload.wikimedia.org/wikipedia/commons/7/78/Natiivo_Austin_from_the_West.png,public/assets-originals/buildings/natiivo.png,public/buildings/natiivo.webp,image/png,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lily Wilkerson,Own work,ok,
building,Waterline,Waterline Austin,File:Waterline (Austin).jpg,https://commons.wikimedia.org/wiki/File%3AWaterline_%28Austin%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Waterline_%28Austin%29.jpg,public/assets-originals/buildings/waterline.jpg,public/buildings/waterline.webp,image/jpeg,6024,10844,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Quintin Soloviev,Own work,ok,
building,Block 185,Block 185 Austin,File:Block 185 from Lady Bird Lake.jpg,https://commons.wikimedia.org/wiki/File%3ABlock_185_from_Lady_Bird_Lake.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Block_185_from_Lady_Bird_Lake.jpg,public/assets-originals/buildings/block-185.jpg,public/buildings/block-185.webp,image/jpeg,3024,4032,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Lily Wilkerson,Own work,ok,
building,The Catherine,The Catherine Austin,File:Catherine Austin Fitts.jpg,https://commons.wikimedia.org/wiki/File%3ACatherine_Austin_Fitts.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Catherine_Austin_Fitts.jpg,public/assets-originals/buildings/catherine.jpg,public/buildings/catherine.webp,image/jpeg,640,480,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,No machine-readable author provided. Cootim20 assumed (based on copyright claims).,No machine-readable source provided. Own work assumed (based on copyright claims).,ok,
