building_id,building_name,buildingExterior,lifestyleImage,districtImage,heroImage,panelImage,thumbnail
luxury-building-360-condominiums,360 Condominiums,/buildings/360.webp,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/buildings/360.webp,/buildings/360.webp,/buildings/360.webp,/buildings/360.webp
luxury-building-seaholm-residences,Seaholm Residences,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp
luxury-building-fifth-west,Fifth & West,/images/legends-listings/3854745b.jpeg,/images/legends-listings/1414e381.jpeg,/images/legends-listings/3854745b.jpeg,/images/legends-listings/3854745b.jpeg,/images/legends-listings/3854745b.jpeg,/images/legends-listings/3854745b.jpeg
luxury-building-the-independent,The Independent,/buildings/independent.webp,/images/legends-listings/6dd28e9b.jpeg,/buildings/independent.webp,/buildings/independent.webp,/buildings/independent.webp,/buildings/independent.webp
luxury-building-spring-condominiums,Spring Condominiums,/buildings/spring-condominiums.png,/buildings/spring-condominiums.png,/buildings/spring-condominiums.png,/buildings/spring-condominiums.png,/buildings/spring-condominiums.png,/buildings/spring-condominiums.png
luxury-building-the-shore,The Shore,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg
luxury-building-austin-proper-residences,Austin Proper Residences,/hotels/austin-proper.webp,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif,/hotels/austin-proper.webp,/hotels/austin-proper.webp,/hotels/austin-proper.webp,/hotels/austin-proper.webp
luxury-building-1212-guadalupe,1212 Guadalupe,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (2).jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg
luxury-building-44-east,44 East,/buildings/44-east.webp,/buildings/44-east.webp,/buildings/44-east.webp,/buildings/44-east.webp,/buildings/44-east.webp,/buildings/44-east.webp
luxury-building-milago,Milago,/buildings/milago.webp,/images/legends-listings/83dcefb7.jpeg,/buildings/milago.webp,/buildings/milago.webp,/buildings/milago.webp,/buildings/milago.webp
luxury-building-brazos-place,Brazos Place,/images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/1ad5be0d (1).jpeg,/images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/1ad5be0d.jpeg
