listing_id,address,unit,building_name,price,beds,baths,sqft,mls_number,status,district,lat,lng,image_url,listing_url,property_type,listing_type,zip_code,source,updated_at
luxury-presence-360-nueces-st-4201-6230337,360 Nueces ST #4201,4201,360 Condominiums,"$430,000",1,1,801,6230337,Active,2nd Street,30.267029,-97.749595,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-360-nueces-st-3506-8744546,360 Nueces ST #3506,3506,360 Condominiums,"$445,000",1,1,748,8744546,Active,2nd Street,30.267029,-97.749595,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-360-nueces-st-3106-1883893,360 Nueces ST #3106,3106,360 Condominiums,"$465,000",1,1,748,1883893,Active,2nd Street,30.267029,-97.749595,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-222-west-ave-1412-4683683,222 West Ave #1412,1412,Seaholm Residences,"$575,000",1,1,821,4683683,Active,Seaholm,30.2672,-97.75148,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-501-west-ave-1207-3480432,501 West Ave #1207,1207,Fifth & West,"$1,699,999",2,3,1759,3480432,Active,Seaholm,30.26914,-97.75111,/images/legends-listings/1414e381.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-301-west-ave-4504-1317826,301 West Ave #4504,4504,The Independent,"$970,000",1,1,999,1317826,Active,Seaholm,30.267451,-97.750793,/images/legends-listings/6dd28e9b.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-300-bowie-st-1403-4131783,300 Bowie ST #1403,1403,Spring Condominiums,"$1,195,000",2,3,1687,4131783,Active,Seaholm,30.2692,-97.7508,/images/legends-listings/3854745b.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-610-davis-st-4301-5357248,610 Davis ST #4301,4301,The Shore,"$2,425,500",3,3,1951,5357248,Active,Rainey,30.25952,-97.73857,/images/legends-listings/83dcefb7 (1).jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-610-davis-st-5003-1682504,610 Davis ST #5003,5003,The Shore,"$5,582,000",4,5,3818,1682504,Active,Rainey,30.25952,-97.73857,/images/legends-listings/83dcefb7 (1).jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-202-nueces-st-1405-4043365,202 Nueces ST #1405,1405,Austin Proper Residences,"$2,995,000",2,3,1646,4043365,Active,2nd Street,30.26595,-97.7496,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-1212-guadalupe-st-601-3119350,1212 Guadalupe ST #601,601,1212 Guadalupe,"$220,000",1,1,454,3119350,Active,Downtown Core,30.27542,-97.7431,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-44-east-ave-3304-8947667,44 East Ave #3304,3304,44 East,"$1,125,000",2,2,1172,8947667,Active,Rainey,30.25894,-97.7391,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-54-rainey-st-404-9558786,54 Rainey ST #404,404,Milago,"$550,000",2,2,1189,9558786,Active,Rainey,30.25878,-97.73988,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
luxury-presence-800-brazos-st-1111-4696550,800 Brazos ST #1111,1111,Brazos Place,"$335,000",1,1,623,4696550,Active,Congress,30.269,-97.74096,/images/legends-listings/83dcefb7.jpeg,,Condominium,For Sale,78701,Luxury Presence MLS feed,2026-06-04
