listing_id,building_name,primaryImage,heroImage,panelImage,mobileCardImage,galleryImages,thumbnail
luxury-presence-360-nueces-st-4201-6230337,360 Condominiums,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/buildings/360.webp,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png | /buildings/360.webp,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png
luxury-presence-360-nueces-st-3506-8744546,360 Condominiums,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/buildings/360.webp,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png | /buildings/360.webp,/images/legends-listings/sdcuyw4dhwd2we6ymxtd.png
luxury-presence-360-nueces-st-3106-1883893,360 Condominiums,/images/legends-listings/83dcefb7.jpeg,/buildings/360.webp,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg | /buildings/360.webp,/images/legends-listings/83dcefb7.jpeg
luxury-presence-222-west-ave-1412-4683683,Seaholm Residences,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp,/buildings/seaholm.webp
luxury-presence-501-west-ave-1207-3480432,Fifth & West,/images/legends-listings/1414e381.jpeg,/images/legends-listings/3854745b.jpeg,/images/legends-listings/1414e381.jpeg,/images/legends-listings/1414e381.jpeg,/images/legends-listings/1414e381.jpeg | /images/legends-listings/3854745b.jpeg,/images/legends-listings/1414e381.jpeg
luxury-presence-301-west-ave-4504-1317826,The Independent,/images/legends-listings/6dd28e9b.jpeg,/buildings/independent.webp,/images/legends-listings/6dd28e9b.jpeg,/images/legends-listings/6dd28e9b.jpeg,/images/legends-listings/6dd28e9b.jpeg | /buildings/independent.webp,/images/legends-listings/6dd28e9b.jpeg
luxury-presence-300-bowie-st-1403-4131783,Spring Condominiums,/images/legends-listings/3854745b.jpeg,/buildings/spring.webp,/images/legends-listings/3854745b.jpeg,/images/legends-listings/3854745b.jpeg,/images/legends-listings/3854745b.jpeg | /buildings/spring.webp,/images/legends-listings/3854745b.jpeg
luxury-presence-610-davis-st-4301-5357248,The Shore,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7 (1).jpeg | /images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (1).jpeg
luxury-presence-610-davis-st-5003-1682504,The Shore,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7 (1).jpeg,/images/legends-listings/83dcefb7 (1).jpeg | /images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7 (1).jpeg
luxury-presence-202-nueces-st-1405-4043365,Austin Proper Residences,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif,/hotels/austin-proper.webp,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif | /hotels/austin-proper.webp,/images/legends-listings/63bd283b-6525-4a58-85bf-e13564f11b1c.avif
luxury-presence-1212-guadalupe-st-601-3119350,1212 Guadalupe,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg
luxury-presence-44-east-ave-3304-8947667,44 East,/images/legends-listings/83dcefb7.jpeg,/buildings/44-east.webp,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg | /buildings/44-east.webp,/images/legends-listings/83dcefb7.jpeg
luxury-presence-54-rainey-st-404-9558786,Milago,/images/legends-listings/83dcefb7.jpeg,/buildings/milago.webp,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg | /buildings/milago.webp,/images/legends-listings/83dcefb7.jpeg
luxury-presence-800-brazos-st-1111-4696550,Brazos Place,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg,/images/legends-listings/83dcefb7.jpeg | /images/legends-listings/1ad5be0d.jpeg,/images/legends-listings/83dcefb7.jpeg
