name,category,osm_type,osm_id,latitude,longitude,map_link,map_preview_link,address,summary,alignment_to_downtown_perks,operating_hours,contact_phone,contact_email,website,specials,deals_offers,events_available,source,last_enriched_utc
311,Bar / Nightlife,node,1481633338,30.267081,-97.74004,https://www.openstreetmap.org/node/1481633338#map=19/30.267081/-97.740040,https://www.openstreetmap.org/?mlat=30.267081&mlon=-97.740040#map=18/30.267081/-97.740040,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Ah Sing Den,Bar / Nightlife,way,379193739,30.264867,-97.731298,https://www.openstreetmap.org/way/379193739#map=19/30.264867/-97.731298,https://www.openstreetmap.org/?mlat=30.264867&mlon=-97.731298#map=18/30.264867/-97.731298,"1100, East 6th Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Amped Austin,Bar / Nightlife,node,3355376965,30.267467,-97.740218,https://www.openstreetmap.org/node/3355376965#map=19/30.267467/-97.740218,https://www.openstreetmap.org/?mlat=30.267467&mlon=-97.740218#map=18/30.267467/-97.740218,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-431-1491,,http://www.ampedaustin.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Antone's Nightclub,Bar / Nightlife,way,929865592,30.266056,-97.7404,https://www.openstreetmap.org/way/929865592#map=19/30.266056/-97.740400,https://www.openstreetmap.org/?mlat=30.266056&mlon=-97.740400#map=18/30.266056/-97.740400,"305, East 5th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Augustine,Bar / Nightlife,way,312335027,30.259653,-97.738679,https://www.openstreetmap.org/way/312335027#map=19/30.259653/-97.738679,https://www.openstreetmap.org/?mlat=30.259653&mlon=-97.738679#map=18/30.259653/-97.738679,"86, Rainey Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins","Mo,Fr off; Tu-We 16:00-24:00; Th 16:00-02:00; Sa 13:00-02:00; Su 12:00-02:00",+1 512-910-2100,info@augustineaustin.com,https://augustineaustin.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Austin Eastciders,Bar / Nightlife,way,383353213,30.26211,-97.761271,https://www.openstreetmap.org/way/383353213#map=19/30.262110/-97.761271,https://www.openstreetmap.org/?mlat=30.262110&mlon=-97.761271#map=18/30.262110/-97.761271,"1530, Barton Springs Road, Austin, TX, 78704",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo off; Tu-Th 11:00-22:00; Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-21:00,+15128937000,,https://austineastciders.com/pages/restaurant,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
B. D. Riley's Irish Pub & Restaurant,Bar / Nightlife,node,1481633373,30.267718,-97.741118,https://www.openstreetmap.org/node/1481633373#map=19/30.267718/-97.741118,https://www.openstreetmap.org/?mlat=30.267718&mlon=-97.741118#map=18/30.267718/-97.741118,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-494-1335,,https://bdrileys.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Banger's Sausage House and Beer Garden,Bar / Nightlife,way,312335014,30.258924,-97.738434,https://www.openstreetmap.org/way/312335014#map=19/30.258924/-97.738434,https://www.openstreetmap.org/?mlat=30.258924&mlon=-97.738434#map=18/30.258924/-97.738434,"79, Rainey Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 10:00-21:00,+1 512-386-1656,info@bangersaustin.com,https://www.bangersaustin.com/,15% off food and drinks,$1 off draft pours during partner windows,Rainey Food + Drink Loop,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Bar 508 Mezcalerita,Bar / Nightlife,way,379166092,30.268615,-97.736638,https://www.openstreetmap.org/way/379166092#map=19/30.268615/-97.736638,https://www.openstreetmap.org/?mlat=30.268615&mlon=-97.736638#map=18/30.268615/-97.736638,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Barbarella,Bar / Nightlife,way,328605851,30.267039,-97.736714,https://www.openstreetmap.org/way/328605851#map=19/30.267039/-97.736714,https://www.openstreetmap.org/?mlat=30.267039&mlon=-97.736714#map=18/30.267039/-97.736714,"611, Red River Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Barracuda,Bar / Nightlife,node,6200126485,30.26714,-97.736331,https://www.openstreetmap.org/node/6200126485#map=19/30.267140/-97.736331,https://www.openstreetmap.org/?mlat=30.267140&mlon=-97.736331#map=18/30.267140/-97.736331,"611, East 7th Street",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Barton Springs Saloon,Bar / Nightlife,way,383353309,30.261363,-97.758753,https://www.openstreetmap.org/way/383353309#map=19/30.261363/-97.758753,https://www.openstreetmap.org/?mlat=30.261363&mlon=-97.758753#map=18/30.261363/-97.758753,"424, South Lamar Boulevard, Austin, TX, 78704",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,https://www.bartonspringssaloonatx.com/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Basecamp,Bar / Nightlife,node,1481721325,30.267509,-97.743956,https://www.openstreetmap.org/node/1481721325#map=19/30.267509/-97.743956,https://www.openstreetmap.org/?mlat=30.267509&mlon=-97.743956#map=18/30.267509/-97.743956,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Better Days,Bar / Nightlife,way,1002818355,30.268146,-97.736805,https://www.openstreetmap.org/way/1002818355#map=19/30.268146/-97.736805,https://www.openstreetmap.org/?mlat=30.268146&mlon=-97.736805#map=18/30.268146/-97.736805,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Blind Pig,Bar / Nightlife,node,1481633328,30.267079,-97.73981,https://www.openstreetmap.org/node/1481633328#map=19/30.267079/-97.739810,https://www.openstreetmap.org/?mlat=30.267079&mlon=-97.739810#map=18/30.267079/-97.739810,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Bourbon Girl,Bar / Nightlife,node,3353538563,30.267656,-97.740896,https://www.openstreetmap.org/node/3353538563#map=19/30.267656/-97.740896,https://www.openstreetmap.org/?mlat=30.267656&mlon=-97.740896#map=18/30.267656/-97.740896,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,+1-512-433-6983,,http://bourbongirlaustin.com/site/,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Buckshot 6th St,Bar / Nightlife,node,3353621860,30.266961,-97.738405,https://www.openstreetmap.org/node/3353621860#map=19/30.266961/-97.738405,https://www.openstreetmap.org/?mlat=30.266961&mlon=-97.738405#map=18/30.266961/-97.738405,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,https://www.facebook.com/pages/Buckshot-6th-St/359712537432946,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Buffalo Billiards,Bar / Nightlife,node,1481633370,30.267431,-97.741201,https://www.openstreetmap.org/node/1481633370#map=19/30.267431/-97.741201,https://www.openstreetmap.org/?mlat=30.267431&mlon=-97.741201#map=18/30.267431/-97.741201,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Buford's,Bar / Nightlife,way,1317394746,30.270319,-97.749669,https://www.openstreetmap.org/way/1317394746#map=19/30.270319/-97.749669,https://www.openstreetmap.org/?mlat=30.270319&mlon=-97.749669#map=18/30.270319/-97.749669,"700, West 6th Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Cantina 512,Bar / Nightlife,node,10216293838,30.258532,-97.739001,https://www.openstreetmap.org/node/10216293838#map=19/30.258532/-97.739001,https://www.openstreetmap.org/?mlat=30.258532&mlon=-97.739001#map=18/30.258532/-97.739001,"70, Rainey Street, Austin, TX, 78701",Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,info@cantina512.com,https://cantina512.com,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
Canvas,Bar / Nightlife,node,1481721329,30.26672,-97.742283,https://www.openstreetmap.org/node/1481721329#map=19/30.266720/-97.742283,https://www.openstreetmap.org/?mlat=30.266720&mlon=-97.742283#map=18/30.266720/-97.742283,,Bar / Nightlife listing in Downtown Austin.,"Resident happy-hour perks, nightlife activations, and event check-ins",Not listed,,,,No public special listed in source data,No public deal listed in source data,No public event listing in source data,OpenStreetMap / Overpass,2026-02-26T22:37:02Z
